run_group,config_name,video_id,split,run_status,eval_status,tolerance_frames,gt_events_count,pred_events_count,tp,fp,fn,precision,recall,f1,input_fps,duration_sec,false_alarms_per_hour,mean_detection_delay_sec,output_dir,error_message
one_video_e2,proposed,demo_01,test,success,evaluated,0,1,3,0,3,1,0.000000,0.000000,0.000000,25.000000,6.640000,1626.506024,,,
one_video_e2,proposed_without_motion,demo_01,test,success,evaluated,0,1,3,0,3,1,0.000000,0.000000,0.000000,25.000000,6.640000,1626.506024,,,
one_video_e2,proposed_without_roi,demo_01,test,success,evaluated,0,1,2,0,2,1,0.000000,0.000000,0.000000,25.000000,6.640000,1084.337349,,,
one_video_e2,baseline,demo_01,test,success,evaluated,0,1,210,1,209,0,0.004762,1.000000,0.009479,25.000000,6.640000,113313.253012,0.560000,,
one_video_e2,proposed_without_temporal,demo_01,test,success,evaluated,0,1,108,1,107,0,0.009259,1.000000,0.018349,25.000000,6.640000,58012.048193,0.760000,,
one_video_e2,proposed,demo_01,test,success,evaluated,0,1,3,0,3,1,0.000000,0.000000,0.000000,25.000000,6.640000,1626.506024,,,
one_video_e2,proposed_without_fallback,demo_01,test,success,evaluated,0,1,2,0,2,1,0.000000,0.000000,0.000000,25.000000,6.640000,1084.337349,,,
one_video_e2,proposed_without_motion,demo_01,test,success,evaluated,0,1,3,0,3,1,0.000000,0.000000,0.000000,25.000000,6.640000,1626.506024,,,
one_video_e2,proposed_without_roi,demo_01,test,success,evaluated,0,1,2,0,2,1,0.000000,0.000000,0.000000,25.000000,6.640000,1084.337349,,,
one_video_e2,proposed_without_temporal,demo_01,test,success,evaluated,0,1,108,1,107,0,0.009259,1.000000,0.018349,25.000000,6.640000,58012.048193,0.760000,,
one_video_e2,proposed_without_fallback,demo_01,test,success,evaluated,0,1,2,0,2,1,0.000000,0.000000,0.000000,25.000000,6.640000,1084.337349,,,
