run_group,config_name,phase,frames_count,inferred_frames_count,processing_fps_est,inference_fps_est,loop_mean_ms,loop_median_ms,loop_p90_ms,infer_mean_ms,infer_median_ms,infer_p90_ms,data_status
one_video_e2,baseline,warmup,20,20,0.446520,0.446520,2239.540950,2098.998000,2642.612800,1859.564400,1756.898500,2145.952600,ok
one_video_e2,baseline,steady,146,146,0.368950,0.368950,2710.397397,2458.207000,3547.671500,2168.686459,1911.869500,2919.390500,ok
one_video_e2,proposed,warmup,40,2,3.847241,0.192362,259.926500,22.735500,30.820000,211.871550,0.000000,0.000000,ok
one_video_e2,proposed,steady,292,96,1.544895,0.507911,647.293322,23.972500,2057.294100,549.381247,0.000000,1788.888000,ok
one_video_e2,proposed_without_motion,warmup,40,14,0.624857,0.218700,1600.366100,50.622000,6202.753600,1362.438850,0.000000,5359.073100,ok
one_video_e2,proposed_without_motion,steady,292,96,1.977953,0.650286,505.573308,18.489500,1735.574600,429.803541,0.000000,1485.991700,ok
one_video_e2,proposed_without_roi,warmup,40,2,8.219149,0.410957,121.667100,12.991000,14.217200,95.278750,0.000000,0.000000,ok
one_video_e2,proposed_without_roi,steady,292,96,1.686489,0.554462,592.947918,18.017500,1972.213200,490.470240,0.000000,1713.824100,ok
one_video_e2,proposed_without_temporal,warmup,40,2,9.077961,0.453898,110.156900,12.980500,13.970200,88.564150,0.000000,0.000000,ok
one_video_e2,proposed_without_temporal,steady,292,96,2.721977,0.894897,367.380034,15.093000,1149.736800,314.252007,0.000000,1027.593800,ok
one_video_e2,proposed_without_fallback,warmup,40,2,7.463639,0.373182,133.982900,13.425500,15.862700,119.645450,0.000000,0.000000,ok
one_video_e2,proposed_without_fallback,steady,292,96,3.411213,1.121495,293.150842,14.550500,877.986100,278.586925,0.000000,863.159200,ok
